url,title,corpus_section,text_type,concept,frame,metaphor,subject_role,value_opposition,action_model
https://www.vedomosti.ru/economics/articles/2025/01/10/1085363-visokaya-klyuchevaya-stavka-zamedlit-rost-ekonomiki,Высокая ключевая ставка замедлит рост экономики в 2025,Новости,Новость о ставке,ТОРМОЖЕНИЕ,монетарная политика,ставка как тормоз,ЦБ / бизнес,осторожность / риск,регулирование
https://www.rbc.ru/rbcfreenews/696a72839a7947f46b0d9367,Росстат назвал размер инфляции в 2025 году,Новости,Новость об инфляции,СТОИМОСТЬ,инфляционный процесс,инфляция как давление,ЦБ / потребитель,дороговизна / доступность,контроль
https://www.vedomosti.ru/economics/articles/2025/06/23/1119182-putin-nazval-pyat-elementov-strukturnoi-transformatsii-ekonomiki,Путин назвал пять элементов структурной трансформации экономики,Новости,Новость о трансформации,ТРАНСФОРМАЦИЯ,структурные реформы,экономика как здание,президент / правительство,обновление / стагнация,реформа
https://www.vedomosti.ru/economics/articles/2025/09/24/1141664-minek-snizil-prognoz,Минэк снизил прогноз роста экономики до 1% в 2025,Новости,Новость о прогнозе,ПАДЕНИЕ,прогнозная корректировка,прогноз как прицел,министерство / экономика,реализм / оптимизм,корректировка
https://lenta.ru/news/2025/11/26/godovaya-inflyatsiya-v-rossii-opustilas-nizhe-semi-protsentov,Годовая инфляция в России опустилась ниже 7%,Новости,Новость об инфляции,СНИЖЕНИЕ,ценовая стабилизация,инфляция как лихорадка,ЦБ / общество,снижение / рост,стабилизация
https://www.gazeta.ru/politics/2024/12/01/20165072.shtml,Путин подписал бюджет на три года,Новости,Новость о бюджете,БЮДЖЕТ,финансовое планирование,бюджет как план,государство / общество,расход / доход,планирование
https://tass.ru/ekonomika/27530931,В РФ снизилось количество преступлений с использованием новых технологий,Новости,Новость о киберпреступности,БЕЗОПАСНОСТЬ,правопорядок,преступность как угроза,правоохранители / общество,безопасность / опасность,контроль
https://tass.ru/obschestvo/27546499,В Москве число IT-преступлений против граждан снизилось,Новости,Новость о кибербезопасности,ЗАЩИТА,цифровая безопасность,киберпространство как поле боя,МВД / гражданин,защита / уязвимость,превенция
https://tass.ru/proisshestviya/27138967,"Число причастных к терроризму подростков выросло в 2,5 раза",Новости,Новость о безопасности,УГРОЗА,Идеологическая динамика молодёжи,радикализм как вирус,правоохранители / молодёжь,безопасность / деструкция,профилактика
https://tass.ru/politika/27447659,Лидеры РФ и КНР примут Декларацию о многополярном мире,Новости,Новость о международной политике,МНОГОПОЛЯРНОСТЬ,многополярный порядок,мир как полюса,лидеры / страны,многополярность / гегемония,координация
https://tass.ru/politika/27541323,Путин: Россия и Казахстан за демократизацию международных отношений,Новости,Новость о дипломатии,СУВЕРЕНИТЕТ,международное равноправие,дипломатия как диалог,лидеры / международное сообщество,равенство / доминирование,сотрудничество
https://www.rbc.ru/politics/24/10/2024/671a3dad9a7947b37650487a,На Западе опасаются идеи Путина о платежной системе БРИКС,Новости,Новость о БРИКС,СУВЕРЕНИТЕТ,финансовая независимость,платёжная система как инструмент,государство / Запад,независимость / зависимость,создание альтернативы
https://lenta.ru/articles/2025/12/24/kulturnyy-obmen,Как РОСКОНЦЕРТ превращает искусство в дипломатию,Новости,Новость о культурной дипломатии,ДИПЛОМАТИЯ,культурный обмен,культура как мост,государство / культура,открытость / изоляция,культурный обмен
https://lenta.ru/articles/2025/11/06/eto-pamyat-o-rodnoy-zemle,Как бренды из национальных республик сохраняют культуру,Новости,Новость о культуре,ПАМЯТЬ,культурное наследие,культура как корень,общество / бренд,сохранение / утрата,сохранение
https://lenta.ru/articles/2025/01/15/god-zaschitnika-otechestva-2025,Год защитника Отечества — 2025,Новости,Новость о памяти,ПОДВИГ,историческая память,память как якорь,государство / народ,честь / забвение,чествование
https://tass.ru/kultura/26888973,Русский музей стал лучшим в 2025 году по версии The Art Newspaper,Новости,Новость о культуре,ПРИЗНАНИЕ,культурное лидерство,музей как хранитель,музей / общество,признание / невостребованность,популяризация
https://tass.ru/obschestvo/23143655,Севастополь становится новой культурной столицей юга России,Новости,Новость о региональной культуре,ВОЗРОЖДЕНИЕ,культурное развитие региона,город как культурный центр,город / общество,развитие / упадок,развитие
https://tass.ru/politika/26191397,Лавров подвел итоги работы МИД в 2025 году,Новости,Новость о внешней политике,СУВЕРЕНИТЕТ,дипломатическая деятельность,дипломатия как щит,МИД / международное сообщество,суверенитет / подчинение,защита интересов
https://russian.rt.com/russia/article/1576031-bpla-drony-svo-itogi-2025,Итоги 2025 года в сфере БПЛА,Новости,Новость о военных технологиях,ОБОРОНА,технологическое превосходство,дрон как воин,военные / промышленность,превосходство / уязвимость,развитие
https://russian.rt.com/russia/article/1578811-burevestnik-poseidon-oruzhie-novinki-2025,Пять главных оружейных новинок российской армии в 2025,Новости,Новость о вооружениях,СИЛА,военная мощь,оружие как щит,армия / государство,мощь / слабость,вооружение
https://tass.ru/obschestvo/23128087,"В РФ за семь лет число IT-преступлений выросло в 7,5 раза",Новости,Новость о киберпреступности,УГРОЗА,цифровые вызовы,интернет как тёмный лес,правоохранители / преступник,безопасность / уязвимость,борьба
https://trends.rbc.ru/trends/industry/656da1929a79470b97ad54ad,Искусственный интеллект 2023–2024: борьба за данные,Аналитика,Аналитика о тренде ИИ,ДАННЫЕ,конкуренция за ресурсы,данные как нефть,корпорация / общество,доступность / монополизация,борьба за ресурсы
https://trends.rbc.ru/trends/industry/694d4ce89a79476c5f6270d6,Итоги 2025 года в ИИ: где заканчивается хайп,Аналитика,Аналитика о хайпе ИИ,РЕАЛЬНОСТЬ,развенчание иллюзий,хайп как пузырь,эксперт / рынок,реализм / иллюзия,рационализация
https://trends.rbc.ru/trends/social/68e76c4f9a794769629fff4a,Цифровое похмелье: почему мы устали от ИИ-контента,Аналитика,Аналитика о восприятии ИИ,УСТАЛОСТЬ,цифровая адаптация,ИИ как наркотик,общество / ИИ,осознанность / зависимость,ограничение
https://trends.rbc.ru/trends/industry/6853a8a49a794719f86161dc,Алгоритмы как кураторы: как ИИ формирует вкус,Аналитика,Аналитика о вкусе,ВКУС,алгоритмическая куратура,алгоритм как критик,ИИ / творец,оригинальность / стандартизация,фильтрация
https://trends.rbc.ru/trends/social/693831c89a7947536b9e1ca8,Как ИИ-боты создают информационные пузыри,Аналитика,Аналитика об инфопузырях,ИСТИНА,информационная фильтрация,инфопузырь как клетка,ИИ / пользователь,разнообразие / однородность,диверсификация
https://trends.rbc.ru/trends/industry/67d7eacc9a7947482963ece1,"6 трендов аналитики данных, которые изменят бизнес",Аналитика,Аналитика о трендах данных,ТРЕНД,рыночная трансформация,тренд как волна,аналитик / бизнес,адаптация / отставание,адаптация
https://trends.rbc.ru/trends/innovation/69b2ee809a79474d1d75ccd7,"Технотренды-2026: ИИ лидирует, а главный барьер — не деньги",Аналитика,Аналитика о барьерах ИИ,БАРЬЕР,организационное сопротивление,культура как стена,компания / технологии,открытость / консерватизм,преодоление
https://www.kommersant.ru/doc/8477068,Рост расходов компаний «на цифру» замедлился,Аналитика,Аналитика о цифровизации,ЗАМЕДЛЕНИЕ,насыщение цифрового рынка,рынок как насыщенный организм,бизнес / государство,рост / стагнация,оптимизация
https://www.kommersant.ru/doc/8335113,Большие данные пошли в рост,Аналитика,Аналитика о Big Data,ДАННЫЕ,рыночный рост,данные как валюта,рынок / государство,рост / стагнация,монетизация
https://www.kommersant.ru/doc/8270384,Рынок генеративного ИИ в России вырастет в пять раз,Аналитика,Аналитика о рынке GenAI,ЭКСПАНСИЯ,рыночная экспансия,рынок как взрыв,бизнес / инвестор,рост / упущение,инвестирование
https://www.kommersant.ru/doc/8623954,Как ИИ меняет карьерный рост и рынок труда,Аналитика,Аналитика о труде,ТРУД,автоматизация труда,ИИ как конкурент,работник / ИИ,адаптация / вытеснение,переподготовка
https://www.kommersant.ru/doc/8462729,Кибератаки в России в 2025 году,Аналитика,Аналитика о кибербезопасности,УГРОЗА,цифровая конкуренция,кибератака как вторжение,хакер / организация,защита / уязвимость,защита
https://www.kommersant.ru/doc/8271101,Рынок защиты ИИ формируется: прогнозы и угрозы,Аналитика,Аналитика о безопасности ИИ,БЕЗОПАСНОСТЬ,формирование рынка защиты,ИИ как замок с дырами,индустрия / ИИ,защита / уязвимость,защита
https://www.kommersant.ru/doc/8625082,"Экономика Рунета-2025: 38,4 трлн руб.",Аналитика,Аналитика о цифровой экономике,МАСШТАБ,цифровая экономика,Рунет как экосистема,индустрия / государство,рост / стагнация,развитие
https://www.vedomosti.ru/analytics/krupnyy_plan/articles/2025/11/25/1157711-kak-iskusstvennii-intellekt-pronikaet-v-ekonomiku,Как ИИ проникает в экономику,Аналитика,Аналитика о проникновении ИИ,ПРОНИКНОВЕНИЕ,экономическая интеграция ИИ,ИИ как вода,бизнес / экономика,интеграция / сопротивление,интеграция
https://www.vedomosti.ru/economics/articles/2026/01/23/1171183-ekonomisti-i-biznes-otsenili-posledstviya-vnedreniya-ii-dlya-rinka-truda,Последствия внедрения ИИ для рынка труда,Аналитика,Аналитика о рынке труда,ТРУД,рыночная трансформация,ИИ как замена,экономист / работник,созидание / разрушение,адаптация
https://www.vedomosti.ru/economics/articles/2025/01/31/1089571-it-sektor-22-vvp,"ИТ-сектор занял 2,2% российского ВВП",Аналитика,Аналитика о ИТ-секторе,ВКЛАД,экономическая значимость ИТ,ИТ как фундамент,государство / ИТ-сектор,развитие / отставание,развитие
https://www.vedomosti.ru/press_releases/2025/12/08/vnedrenie-ii-mozhet-prinesti-rossiiskoi-ekonomike-do-13-trln-rub-k-2030-g,Внедрение ИИ может принести экономике до 13 трлн руб.,Аналитика,Аналитика о потенциале ИИ,ПОТЕНЦИАЛ,экономический прогноз,ИИ как золотая жила,бизнес / государство,возможность / упущение,внедрение
https://russiancouncil.ru/analytics-and-comments/columns/sandbox/bitva-za-tiktok,Битва за TikTok: США и Китай на поле цифровой безопасности,Аналитика,Аналитика о цифровом суверенитете,СУВЕРЕНИТЕТ,цифровая конкуренция,TikTok как поле боя,США / Китай,суверенитет / зависимость,защита
https://russiancouncil.ru/analytics-and-comments/analytics/pravila-ili-praktika-novye-razvilki-globalnogo-regulirovaniya-ii,Правила или практика: новые развилки глобального регулирования ИИ,Аналитика,Аналитика о регулировании ИИ,ПРАВИЛО,институциональное развитие,регулирование как дорога,государство / ИИ,порядок / хаос,регулирование
https://globalaffairs.ru/articles/ii-vojna-romashkina-stefanovich,Искусственный интеллект и естественная война,Аналитика,Аналитика о войне и ИИ,ВОЙНА,автономные системы,ИИ как солдат,военный / ИИ,контроль / автономия,ограничение
https://globalaffairs.ru/articles/parus-sytnik-bazluczkaya,Парус при шторме: цифровой потенциал в мире ИИ,Аналитика,Аналитика о цифровом потенциале,ПОТЕНЦИАЛ,цифровое развитие,цифра как парус,государство / экономика,развитие / отставание,развитие
https://expert.ru/analitika/texnologiceskaia-politika/chto-ekonomike-dast-zapusk-komissii-po-razvitiyu-iskusstvennogo-intellekta,Что экономике даст запуск комиссии по ИИ,Аналитика,Аналитика о комиссии ИИ,ИНСТИТУТ,институциональное развитие,комиссия как штурвал,государство / ИИ-индустрия,координация / хаос,координация
https://expert.ru/mnenie/kak-informatsiya-stanovitsya-klyuchevym-resursom-razvitiya-rossii,Как информация становится ключевым ресурсом развития,Аналитика,Аналитика о данных,РЕСУРС,информационная экономика,данные как нефть,государство / экономика,ресурс / отход,мобилизация
https://expert.ru/obshchestvo/im-tsifry-vidno-vse-ty-tak-i-znay,Им цифры видно все — ты так и знай,Аналитика,Аналитика о цифровом развитии,ПРОЗРАЧНОСТЬ,цифровой контроль,цифра как окно,государство / гражданин,прозрачность / тайна,мониторинг
https://expert.ru/expertise/arkhiv/obrazovanie/shkola/ot-traditsiy-k-innovatsiyam,Как цифровые технологии трансформируют учебный процесс,Аналитика,Аналитика о цифровом образовании,ТРАНСФОРМАЦИЯ,цифровизация школы,школа как платформа,школа / технологии,инновация / традиция,цифровизация
https://www.vedomosti.ru/press_releases/2026/01/21/v-mire-sformirovalsya-trend-na-smyagchenie-i-peresmotr-regulirovaniya-v-sfere-generativnogo-ii,В мире сформировался тренд на смягчение регулирования ИИ,Аналитика,Аналитика о смягчении регулирования,СМЯГЧЕНИЕ,регуляторная переориентация,регулирование как поводок,государство / индустрия,свобода / ограничение,либерализация
https://www.rbc.ru/politics/08/07/2025/686b9ca39a79477adf9a5150,Примаков — РБК: Снаряды и учебники взаимозависимы,Интервью,Интервью с дипломатом,СУВЕРЕНИТЕТ,международная политика,дипломатия как шахматы,дипломат / страна,сотрудничество / конфронтация,переговоры
https://www.rbc.ru/spb_sz/08/03/2025/67c5a31a9a79476e0ddd910a,Зубаревич — об экономике регионов в 2025 году,Интервью,Интервью с экономистом,РЕГИОН,экономическая дифференциация,регион как организм,эксперт / регион,развитие / упадок,диагностика
https://www.rbc.ru/politics/30/01/2025/679936eb9a7947bacd566159,Мединский объяснил запрет пацифистских лозунгов,Интервью,Интервью с чиновником,ЦЕНЗУРА,идеологическое регулирование,культура как фронт,чиновник / общество,порядок / свобода,регулирование
https://www.forbes.ru/rubriki-kanaly/video/559888-sergej-kolesnikov-forbes,"Колесников — Forbes: Курьером стать проще, чем конструктором",Интервью,Интервью с предпринимателем,ТРУД,кадровый кризис,образование как лифт,предприниматель / образование,квалификация / деградация,подготовка кадров
https://www.forbes.ru/rubriki-kanaly/video/551407-oleg-v-ugin-forbes,Вьюгин — Forbes: Экономика входит в 2026 год с нулевым ростом,Интервью,Интервью с экономистом,СТАГНАЦИЯ,экономическая оценка,экономика как больной,экономист / страна,рост / спад,диагностика
https://www.forbes.ru/spetsproekt/promo/557474-pavel-voronin-mts-web-services,"Воронин, МТС: три новых волны развития ИИ",Интервью,Интервью с ИИ-экспертом,ВОЛНА,технологическая эволюция,ИИ как волна,эксперт / индустрия,инновация / застой,развитие
https://snob.ru/art/barokko-s-protsessorom-oleg-dou-o-novom-iskusstve,Барокко с процессором: Олег Доу о новом искусстве,Интервью,Интервью с художником,ИСКУССТВО,творческая трансформация,нейросеть как кисть,художник / ИИ,творчество / автоматизация,созидание
https://tass.ru/interviews/22700693,"Кононенко: после возвращения наслаждался тем, что можно пить воду",Интервью,Интервью с космонавтом,ПОДВИГ,космическая миссия,космос как испытание,космонавт / общество,мужество / обыденность,возвращение
https://tass.ru/interviews/27559385,"Мы ищем жизнь во Вселенной, чтобы понять, откуда она на Земле",Интервью,Интервью с астрофизиком,ПОИСК,научное познание,Вселенная как загадка,учёный / общество,знание / неведение,исследование
https://ria.ru/20241022/yakovenko-1979157573.html,Яковенко: приходит время противостояния,Интервью,Интервью с дипломатом,ПРОТИВОСТОЯНИЕ,геополитический конфликт,мир как арена,дипломат / государство,суверенитет / подчинение,защита
https://ria.ru/20241227/morgulov-1991638537.html,Моргулов: шаги недругов не остановят сотрудничество РФ и Китая,Интервью,Интервью с послом,СОТРУДНИЧЕСТВО,международное партнёрство,партнёрство как мост,посол / страна,союз / изоляция,укрепление
https://ria.ru/20250115/biznes-1993767956.html,Биричевский: Россия продолжает работать с западным бизнесом,Интервью,Интервью с руководителем,СВЯЗЬ,экономическое сотрудничество,бизнес как мост,руководитель / бизнес,открытость / закрытость,сохранение связей
https://tass.ru/interviews/27065281,Караник: ни одного года без запуска в космос,Интервью,Интервью о космосе,КОСМОС,космическая программа,космос как горизонт,учёный / государство,познание / ограничение,исследование
https://www.kommersant.ru/doc/8571874,"Выбор, который устроил всех: интервью с банкиром",Интервью,Интервью с банкиром,ВЫБОР,финансовая стратегия,банк как крепость,банкир / рынок,стабильность / риск,стратегия
https://www.kommersant.ru/doc/8532230,Главный KPI — экономика внимания: интервью с медиаменеджером,Интервью,Интервью о медиа,ВНИМАНИЕ,экономика внимания,внимание как валюта,медиаменеджер / аудитория,контроль / свобода,управление
https://snob.ru/money/ekaterina-seredinskaia-ob-evoliutsii-bankovskogo-obsluzhivaniia,Серединская: об эволюции банковского обслуживания,Интервью,Интервью с банкиром,СЛУЖБА,сервисная трансформация,банк как сервис,банкир / клиент,сервис / равнодушие,сервис
https://www.kommersant.ru/doc/8340950,Новая система высшего образования: увеличены баллы ЕГЭ,Интервью,Интервью об образовании,КАЧЕСТВО,образовательная реформа,ЕГЭ как фильтр,министерство / абитуриент,качество / формализм,реформа
https://www.vedomosti.ru/opinion/columns/2026/03/26/1185551-vesch-nedeli-borba-s-ekstremizmom,Борьба с экстремизмом: новые поправки,Колонки / публицистика,Колонка о законодательстве,БЕЗОПАСНОСТЬ,правовое регулирование,закон как щит,государство / гражданин,безопасность / свобода,регулирование
https://www.vedomosti.ru/ideas/education/columns/2026/04/06/1188222-gotovih-kadrov,Почему технологические лидеры не ждут готовых кадров,Колонки / публицистика,Колонка о кадрах,КАДР,кадровый кризис,кадр как ресурс,лидер / образование,подготовка / дефицит,переподготовка
https://www.vedomosti.ru/opinion/columns/2025/12/15/1163160-kuda-huzhe,Куда хуже: о кризисах 2025,Колонки / публицистика,Колонка о кризисе,КРИЗИС,экономический спад,кризис как буря,эксперт / общество,осознание / отрицание,адаптация
https://snob.ru/profile/413059/blog/3099724,Миллениалы не плачут: им за это стыдно,Колонки / публицистика,Эссе о поколениях,ПОКОЛЕНИЕ,поколенческая травма,миллениал как пациент,поколение / общество,чувствительность / стоицизм,рефлексия
https://snob.ru/obrazovanie/faktologiia-protiv-poznaniia,Фактология против познания: образование в эпоху нейросетей,Колонки / публицистика,Колонка об образовании,ЗНАНИЕ,образовательный кризис,знание как вода,образование / ИИ,познание / заучивание,реформа
https://snob.ru/literature/chto-my-chitali-v-2025-godu-reiting-knizhnykh-izdatelstv,Что мы читали в 2025 году: рейтинг издательств,Колонки / публицистика,Колонка о чтении,ЧТЕНИЕ,книжный рынок,книга как компас,читатель / рынок,качество / конвейер,выбор
https://www.kommersant.ru/doc/8588198,Конец прошедшего времени: о смене политической эпохи,Колонки / публицистика,Колонка о политике,ЭПОХА,Политические изменения,эпоха как дверь,политик / общество,перемены / застой,наблюдение
https://www.kommersant.ru/doc/8364012,Вся кООНпромиссная рать,Колонки / публицистика,Колонка о геополитике,КОМПРОМИСС,международная дипломатия,ООН как театр,дипломат / ООН,компромисс / конфронтация,переговоры
https://nvo.ng.ru/editorial/2025-12-26/01_9409_red.html,Что изменилось в инвестприоритетах,Колонки / публицистика,Колонка об инвестициях,ИНВЕСТИЦИЯ,экономическая переориентация,инвестиция как посев,инвестор / экономика,развитие / стагнация,перераспределение
https://nvo.ng.ru/ideas/2026-01-11/6_9412_100.html,100 ведущих политиков России в 2025 году,Колонки / публицистика,Рейтинг-эссе,ВЛИЯНИЕ,политический рейтинг,политика как иерархия,политик / общество,власть / безвластие,оценка
https://www.vedomosti.ru/esg/ecology/articles/2024/02/28/1022619-ekologiya-ischet-novie-vizovi,Экология ищет новые вызовы,Колонки / публицистика,Колонка об экологии,ЭКОЛОГИЯ,устойчивое развитие,экология как баланс,общество / природа,сохранение / разрушение,баланс
https://www.kommersant.ru/doc/7429862,Как изменились партийные симпатии избирателей,Колонки / публицистика,Колонка о социологии,ВЫБОР,электоральная динамика,избиратель как маятник,избиратель / партия,перемены / стабильность,наблюдение
https://www.culture.ru/materials/258644/ot-dyurera-do-deineki-samye-interesnye-vystavki-2025-goda,От Дюрера до Дейнеки: выставки 2025 года,Культурная журналистика,Рецензия на выставку,ИСКУССТВО,художественная выставка,выставка как диалог эпох,куратор / зритель,наследие / новаторство,популяризация
https://www.culture.ru/materials/257560/glavnye-vystavki-2023-goda,Главные выставки 2023 года,Культурная журналистика,Обзор выставок,КУЛЬТУРНОЕ НАСЛЕДИЕ,музейная жизнь,музей как хранитель,музей / общество,сохранение / забвение,сохранение
https://www.culture.ru/materials/258531/chto-smotret-v-teatralnom-sezone-2024-25-premery-moskvy-i-peterburga,Театральный сезон 2024/25: премьеры,Культурная журналистика,Обзор театра,ТЕАТР,театральная премьера,театр как зеркало,режиссёр / зритель,новаторство / традиция,просвещение
https://www.culture.ru/materials/258946/spektakli-proekta-svoi-nepridumannye-istorii,Спектакли проекта «СВОи. Непридуманные истории»,Культурная журналистика,Рецензия на спектакль,СВИДЕТЕЛЬСТВО,документальный театр,сцена как свидетель,актёр / зритель,правда / вымысел,свидетельствование
https://www.ng.ru/culture/2024-02-20/7_8953_gallery.html,В Третьяковской галерее вспоминают Александра Константинова,Культурная журналистика,Рецензия на выставку,ПАМЯТЬ,художественное наследие,искусство как послание,художник / зритель,признание / забвение,сохранение
https://www.ng.ru/culture/2024-10-27/7_9123_museum.html,«Новое общество художников»,Культурная журналистика,Рецензия на выставку,СООБЩЕСТВО,коллективное творчество,искусство как диалог,художник / общество,коллектив / индивидуальность,популяризация
https://www.ng.ru/culture/2024-03-31/6_8983_art.html,Современное искусство расцветает средними чеками,Культурная журналистика,Репортаж с ярмарки,РЫНОК,рыночная динамика искусства,искусство как товар,рынок / художник,коммерция / творчество,продажа
https://www.kommersant.ru/doc/6493375,Берлинале–2024: 10 главных фильмов,Культурная журналистика,Обзор кинофестиваля,КИНО,фестивальный показ,кино как окно,режиссёр / зритель,мировое / локальное,просвещение
https://www.kommersant.ru/doc/6712775,Каннский кинофестиваль: обзор фильмов,Культурная журналистика,Обзор кинофестиваля,ПРЕЗЕНТАЦИЯ,международный кинопоказ,Канны как арена,кинематограф / общество,признание / отвержение,репрезентация
https://www.kommersant.ru/doc/6727817,Почему россияне стали меньше ходить в театры,Культурная журналистика,Аналитика о культуре,КРИЗИС,динамика культурного потребления,театр как пациент,театр / зритель,участие / равнодушие,привлечение
https://style.rbc.ru/impressions/66bc84839a794720dc3db980,Локарно-2024: реальность кусается,Культурная журналистика,Обзор кинофестиваля,РЕАЛЬНОСТЬ,кинематографическая правда,кино как зубы,режиссёр / зритель,правда / иллюзия,наблюдение
https://style.rbc.ru/impressions/664f47709a79472ac8074d33,Канны-2024: в чем загадка Трампа,Культурная журналистика,Репортаж с фестиваля,ЗАГАДКА,культурный феномен,Канны как зеркало,кино / общество,искусство / политика,наблюдение
https://style.rbc.ru/impressions/6708fbd19a7947a40b5b3a6f,Маяк: фестиваль актуального российского кино,Культурная журналистика,Обзор фестиваля,СОВРЕМЕННОСТЬ,новое российское кино,фестиваль как маяк,режиссёр / зритель,новое / старое,популяризация
https://style.rbc.ru/impressions/66fe680e9a79471ce45858a2,Новый роман Пелевина: круть или не круть?,Культурная журналистика,Рецензия на книгу,ЛИТЕРАТУРА,литературная оценка,книга как диагноз,писатель / читатель,гениальность / конвейер,оценка
https://www.forbes.ru/forbeslife/527979-opasnye-sputniki,Как музеи показывали современное искусство в 2024,Культурная журналистика,Итоги года,ИТОГ,музейный год,музей как спутник,куратор / зритель,современность / традиция,подведение итогов
https://www.forbes.ru/forbeslife/503189-ot-van-goga-do-joko-ono,Самые ожидаемые мировые выставки 2024,Культурная журналистика,Обзор выставок,ОЖИДАНИЕ,культурный календарь,выставка как событие,куратор / публика,мировое / локальное,анонс
https://www.forbes.ru/forbeslife/513921-pocemu-na-biennale-v-veneciu-rossiu-predstavlaet-uzbekistan,Почему на биеннале в Венеции Россию представляет Узбекистан,Культурная журналистика,Репортаж с биеннале,ПАРАДОКС,культурная репрезентация,биеннале как витрина,страна / искусство,присутствие / отсутствие,репрезентация
https://regnum.ru/article/4027101,Русский код: как культура стала приоритетом,Культурная журналистика,Аналитика о культуре,ПРИОРИТЕТ,государственная культурная политика,культура как фундамент,государство / культура,поддержка / равнодушие,поддержка
