ID_материала,URL,Заголовок,Раздел_корпуса,Номер_объекта,Тип_текста,Концепт,Фрейм,Метафора,Субъектная_роль,Ценностная_оппозиция,Модель_действия
M029,https://tass.ru/politika/27541323,Путин: Россия и Казахстан за демократизацию международных отношений,Быстрый (новостной),1,Новость о дипломатии,СУВЕРЕНИТЕТ,международное равноправие,дипломатия как диалог,лидеры / международное сообщество,равенство / доминирование,сотрудничество
M030,https://www.rbc.ru/politics/24/10/2024/671a3dad9a7947b37650487a,На Западе опасаются идеи Путина о платежной системе БРИКС,Быстрый (новостной),1,Новость о БРИКС,СУВЕРЕНИТЕТ,финансовая независимость,платёжная система как инструмент,государство / Запад,независимость / взаимозависимость,создание альтернативы
M031,https://lenta.ru/articles/2025/12/24/kulturnyy-obmen,Как РОСКОНЦЕРТ превращает искусство в дипломатию,Быстрый (новостной),1,Новость о культурной дипломатии,ДИПЛОМАТИЯ,культурный обмен,культура как мост,государство / культура,открытость / изоляция,культурный обмен
M032,https://lenta.ru/articles/2025/11/06/eto-pamyat-o-rodnoy-zemle,Как бренды из национальных республик сохраняют культуру,Быстрый (новостной),1,Новость о культуре,ПАМЯТЬ,культурное наследие,культура как корень,общество / бренд,сохранение / утрата,сохранение
M033,https://lenta.ru/articles/2025/01/15/god-zaschitnika-otechestva-2025,Год защитника Отечества — 2025,Быстрый (новостной),1,Новость о памяти,ПОДВИГ,историческая память,память как якорь,государство / народ,память / забвение,чествование
M034,https://tass.ru/kultura/26888973,Русский музей стал лучшим в 2025 году по версии The Art Newspaper,Быстрый (новостной),1,Новость о культуре,ПРИЗНАНИЕ,культурное лидерство,музей как хранитель,музей / общество,признание / формирование,популяризация
M035,https://tass.ru/obschestvo/23143655,Севастополь становится новой культурной столицей юга России,Быстрый (новостной),1,Новость о региональной культуре,ВОЗРОЖДЕНИЕ,культурное развитие региона,город как культурный центр,город / общество,развитие / стабилизация,развитие
M036,https://tass.ru/politika/26191397,Лавров подвел итоги работы МИД в 2025 году,Быстрый (новостной),1,Новость о внешней политике,СУВЕРЕНИТЕТ,дипломатическая деятельность,дипломатия как щит,МИД / международное сообщество,независимость / сотрудничество,защита интересов
M037,https://russian.rt.com/russia/article/1576031-bpla-drony-svo-itogi-2025,Итоги 2025 года в сфере БПЛА,Быстрый (новостной),1,Новость о военных технологиях,ОБОРОНА,технологическое превосходство,дрон как воин,военные / промышленность,развитие / ограничения,развитие
M038,https://russian.rt.com/russia/article/1578811-burevestnik-poseidon-oruzhie-novinki-2025,Пять главных оружейных новинок российской армии в 2025,Быстрый (новостной),1,Новость о вооружениях,СИЛА,военная мощь,оружие как щит,армия / государство,военные возможности / ограничения,вооружение
M039,https://tass.ru/obschestvo/23128087,"В РФ за семь лет число IT-преступлений выросло в 7,5 раза",Быстрый (новостной),1,Новость о киберпреступности,ВЫЗОВ,цифровая угроза,интернет как среда,правоохранители / преступник,безопасность / уязвимость,борьба
M040,https://trends.rbc.ru/trends/industry/656da1929a79470b97ad54ad,Искусственный интеллект 2023–2024: борьба за данные,Средний (аналитический),1,Аналитика о тренде ИИ,ДАННЫЕ,конкуренция за ресурсы,данные как нефть,корпорация / общество,доступность / концентрация,борьба за ресурсы
M041,https://trends.rbc.ru/trends/industry/694d4ce89a79476c5f6270d6,Итоги 2025 года в ИИ: где заканчивается хайп,Средний (аналитический),1,Аналитика о хайпе ИИ,РЕАЛЬНОСТЬ,развенчание иллюзий,хайп как пузырь,эксперт / рынок,реализм / иллюзия,рационализация
M042,https://trends.rbc.ru/trends/social/68e76c4f9a794769629fff4a,Цифровое похмелье: почему мы устали от ИИ-контента,Средний (аналитический),1,Аналитика о восприятии ИИ,УСТАЛОСТЬ,цифровая перегрузка,ИИ как зависимость,общество / ИИ,осознанность / зависимость,ограничение
M043,https://trends.rbc.ru/trends/industry/6853a8a49a794719f86161dc,Алгоритмы как кураторы: как ИИ формирует вкус,Средний (аналитический),1,Аналитика о вкусе,ВКУС,алгоритмическая куратура,алгоритм как критик,ИИ / творец,оригинальность / типизация,фильтрация
M044,https://trends.rbc.ru/trends/social/693831c89a7947536b9e1ca8,Как ИИ-боты создают информационные пузыри,Средний (аналитический),1,Аналитика об инфопузырях,ИСТИНА,информационная изоляция,инфопузырь как клетка,ИИ / пользователь,разнообразие / однородность,диверсификация
M045,https://trends.rbc.ru/trends/industry/67d7eacc9a7947482963ece1,"6 трендов аналитики данных, которые изменят бизнес",Средний (аналитический),1,Аналитика о трендах данных,ТРЕНД,рыночная трансформация,тренд как волна,аналитик / бизнес,адаптация / отставание,адаптация
M046,https://trends.rbc.ru/trends/innovation/69b2ee809a79474d1d75ccd7,"Технотренды-2026: ИИ лидирует, а главный барьер — не деньги",Средний (аналитический),1,Аналитика о барьерах ИИ,БАРЬЕР,организационное сопротивление,культура как стена,компания / технологии,открытость / консерватизм,преодоление
M047,https://www.kommersant.ru/doc/8477068,Рост расходов компаний «на цифру» замедлился,Средний (аналитический),1,Аналитика о цифровизации,ЗАМЕДЛЕНИЕ,цифровая усталость рынка,рынок как насыщенный организм,бизнес / государство,рост / стабилизация,оптимизация
M048,https://www.kommersant.ru/doc/8335113,Большие данные пошли в рост,Средний (аналитический),1,Аналитика о Big Data,ДАННЫЕ,рыночный рост,данные как валюта,рынок / государство,рост / стабилизация,монетизация
M049,https://www.kommersant.ru/doc/8270384,Рынок генеративного ИИ в России вырастет в пять раз,Средний (аналитический),1,Аналитика о рынке GenAI,ЭКСПАНСИЯ,рыночная экспансия,рынок как взрыв,бизнес / инвестор,рост / стабилизация,инвестирование
M050,https://www.kommersant.ru/doc/8623954,Как ИИ меняет карьерный рост и рынок труда,Средний (аналитический),1,Аналитика о труде,ТРУД,автоматизация труда,ИИ как конкурент,работник / ИИ,адаптация / коэволюция,переподготовка
M051,https://www.kommersant.ru/doc/8462729,Кибератаки в России в 2025 году,Средний (аналитический),1,Аналитика о кибербезопасности,ВЫЗОВ,цифровая война,кибератака как вторжение,хакер / организация,защита / риски,защита
M052,https://www.kommersant.ru/doc/8271101,Рынок защиты ИИ формируется: прогнозы и угрозы,Средний (аналитический),1,Аналитика о безопасности ИИ,БЕЗОПАСНОСТЬ,формирование рынка защиты,ИИ как система с ограничениями,индустрия / ИИ,защита / риски,защита
M053,https://www.kommersant.ru/doc/8625082,"Экономика Рунета-2025: 38,4 трлн руб.",Средний (аналитический),1,Аналитика о цифровой экономике,МАСШТАБ,цифровая экономика,Рунет как экосистема,индустрия / государство,рост / стабилизация,развитие
M054,https://www.vedomosti.ru/analytics/krupnyy_plan/articles/2025/11/25/1157711-kak-iskusstvennii-intellekt-pronikaet-v-ekonomiku,Как ИИ проникает в экономику,Средний (аналитический),1,Аналитика о проникновении ИИ,ПРОНИКНОВЕНИЕ,экономическая интеграция ИИ,ИИ как вода,бизнес / экономика,интеграция / сопротивление,интеграция
M055,https://www.vedomosti.ru/economics/articles/2026/01/23/1171183-ekonomisti-i-biznes-otsenili-posledstviya-vnedreniya-ii-dlya-rinka-truda,Последствия внедрения ИИ для рынка труда,Средний (аналитический),1,Аналитика о рынке труда,ТРУД,рыночная трансформация,ИИ как замена,экономист / работник,созидание / адаптация,адаптация
M056,https://www.vedomosti.ru/economics/articles/2025/01/31/1089571-it-sektor-22-vvp,"ИТ-сектор занял 2,2% российского ВВП",Средний (аналитический),1,Аналитика о ИТ-секторе,ВКЛАД,экономическая значимость ИТ,ИТ как фундамент,государство / ИТ-сектор,развитие / адаптация,развитие
M057,https://www.vedomosti.ru/press_releases/2025/12/08/vnedrenie-ii-mozhet-prinesti-rossiiskoi-ekonomike-do-13-trln-rub-k-2030-g,Внедрение ИИ может принести экономике до 13 трлн руб.,Средний (аналитический),1,Аналитика о потенциале ИИ,ПОТЕНЦИАЛ,экономический прогноз,ИИ как золотая жила,бизнес / государство,возможность / упущение,внедрение
M058,https://russiancouncil.ru/analytics-and-comments/columns/sandbox/bitva-za-tiktok,Битва за TikTok: США и Китай на поле цифровой безопасности,Средний (аналитический),1,Аналитика о цифровом суверенитете,СУВЕРЕНИТЕТ,цифровая война,TikTok как поле боя,США / Китай,суверенитет / зависимость,защита
M059,https://russiancouncil.ru/analytics-and-comments/analytics/pravila-ili-praktika-novye-razvilki-globalnogo-regulirovaniya-ii,Правила или практика: новые развилки глобального регулирования ИИ,Средний (аналитический),1,Аналитика о регулировании ИИ,ПРАВИЛО,институциональное развитие,регулирование как дорога,государство / ИИ,порядок / хаос,регулирование
M060,https://globalaffairs.ru/articles/ii-vojna-romashkina-stefanovich,Искусственный интеллект и естественная война,Средний (аналитический),1,Аналитика о войне и ИИ,ВОЙНА,автономные системы,ИИ как солдат,военный / ИИ,регулирование / автономия,ограничение
M061,https://globalaffairs.ru/articles/parus-sytnik-bazluczkaya,Парус при шторме: цифровой потенциал в мире ИИ,Средний (аналитический),1,Аналитика о цифровом потенциале,ПОТЕНЦИАЛ,цифровое развитие,цифра как парус,государство / экономика,развитие / адаптация,развитие
M062,https://expert.ru/analitika/texnologiceskaia-politika/chto-ekonomike-dast-zapusk-komissii-po-razvitiyu-iskusstvennogo-intellekta,Что экономике даст запуск комиссии по ИИ,Средний (аналитический),1,Аналитика о комиссии ИИ,ИНСТИТУТ,институциональное развитие,комиссия как штурвал,государство / ИИ-индустрия,координация / хаос,координация
M063,https://expert.ru/mnenie/kak-informatsiya-stanovitsya-klyuchevym-resursom-razvitiya-rossii,Как информация становится ключевым ресурсом развития,Средний (аналитический),1,Аналитика о данных,РЕСУРС,информационная экономика,данные как нефть,государство / экономика,ресурс / отход,мобилизация
M064,https://expert.ru/obshchestvo/im-tsifry-vidno-vse-ty-tak-i-znay,Им цифры видно все — ты так и знай,Средний (аналитический),1,Аналитика о цифровом развитии,ПРОЗРАЧНОСТЬ,цифровой контроль,цифра как окно,государство / гражданин,прозрачность / тайна,мониторинг
M065,https://expert.ru/expertise/arkhiv/obrazovanie/shkola/ot-traditsiy-k-innovatsiyam,Как цифровые технологии трансформируют учебный процесс,Средний (аналитический),1,Аналитика о цифровом образовании,ТРАНСФОРМАЦИЯ,цифровизация школы,школа как платформа,школа / технологии,инновация / преемственность,цифровизация
M066,https://www.vedomosti.ru/press_releases/2026/01/21/v-mire-sformirovalsya-trend-na-smyagchenie-i-peresmotr-regulirovaniya-v-sfere-generativnogo-ii,В мире сформировался тренд на смягчение регулирования ИИ,Средний (аналитический),1,Аналитика о смягчении регулирования,СМЯГЧЕНИЕ,регуляторная переориентация,регулирование как поводок,государство / индустрия,свобода / ограничение,либерализация
M067,https://www.rbc.ru/politics/08/07/2025/686b9ca39a79477adf9a5150,Примаков — РБК: Снаряды и учебники взаимозависимы,Средний (аналитический),1,Интервью с дипломатом,СУВЕРЕНИТЕТ,международная политика,дипломатия как шахматы,дипломат / страна,сотрудничество / конфронтация,переговоры
M068,https://www.rbc.ru/spb_sz/08/03/2025/67c5a31a9a79476e0ddd910a,Зубаревич — об экономике регионов в 2025 году,Средний (аналитический),1,Интервью с экономистом,РЕГИОН,экономическая дифференциация,регион как организм,эксперт / регион,развитие / стабилизация,диагностика
M069,https://www.rbc.ru/politics/30/01/2025/679936eb9a7947bacd566159,Мединский объяснил запрет пацифистских лозунгов,Средний (аналитический),1,Интервью с чиновником,ЦЕНЗУРА,идеологический контроль,культура как сфера влияния,чиновник / общество,порядок / свобода,регулирование
M070,https://www.forbes.ru/rubriki-kanaly/video/559888-sergej-kolesnikov-forbes,"Колесников — Forbes: Курьером стать проще, чем конструктором",Средний (аналитический),1,Интервью с предпринимателем,ТРУД,кадровый кризис,образование как лифт,предприниматель / образование,подготовка / дефицит,подготовка кадров
M071,https://www.forbes.ru/rubriki-kanaly/video/551407-oleg-v-ugin-forbes,Вьюгин — Forbes: Экономика входит в 2026 год с нулевым ростом,Средний (аналитический),1,Интервью с экономистом,СТАБИЛЬНОСТЬ,экономическая оценка,экономика как система,экономист / страна,рост / корректировка,диагностика
M072,https://www.forbes.ru/spetsproekt/promo/557474-pavel-voronin-mts-web-services,"Воронин, МТС: три новых волны развития ИИ",Средний (аналитический),1,Интервью с ИИ-экспертом,ВОЛНА,технологическая эволюция,ИИ как волна,эксперт / индустрия,инновация / стабильность,развитие
M073,https://snob.ru/art/barokko-s-protsessorom-oleg-dou-o-novom-iskusstve,Барокко с процессором: Олег Доу о новом искусстве,Средний (аналитический),1,Интервью с художником,ИСКУССТВО,творческая трансформация,нейросеть как кисть,художник / ИИ,творчество / автоматизация,созидание
M074,https://tass.ru/interviews/22700693,"Кононенко: после возвращения наслаждался тем, что можно пить воду",Средний (аналитический),1,Интервью с космонавтом,ПОДВИГ,космическая миссия,космос как испытание,космонавт / общество,подвиг / повседневность,возвращение
M075,https://tass.ru/interviews/27559385,"Мы ищем жизнь во Вселенной, чтобы понять, откуда она на Земле",Средний (аналитический),1,Интервью с астрофизиком,ПОИСК,научное познание,Вселенная как объект исследования,учёный / общество,знание / неведение,исследование
M076,https://ria.ru/20241022/yakovenko-1979157573.html,Яковенко: приходит время противостояния,Средний (аналитический),1,Интервью с дипломатом,ПРОТИВОСТОЯНИЕ,геополитический конфликт,мир как арена,дипломат / государство,независимость / сотрудничество,защита
M077,https://ria.ru/20241227/morgulov-1991638537.html,Моргулов: шаги недругов не остановят сотрудничество РФ и Китая,Средний (аналитический),1,Интервью с послом,СОТРУДНИЧЕСТВО,международное партнёрство,партнёрство как мост,посол / страна,сотрудничество / самостоятельность,укрепление
M078,https://ria.ru/20250115/biznes-1993767956.html,Биричевский: Россия продолжает работать с западным бизнесом,Средний (аналитический),1,Интервью с руководителем,СВЯЗЬ,экономическое сотрудничество,бизнес как мост,руководитель / бизнес,открытость / регулируемость,сохранение связей
M079,https://tass.ru/interviews/27065281,Караник: ни одного года без запуска в космос,Средний (аналитический),1,Интервью о космосе,КОСМОС,космическая программа,космос как горизонт,учёный / государство,развитие / ограничения,исследование
M080,https://www.kommersant.ru/doc/8571874,"Выбор, который устроил всех: интервью с банкиром",Средний (аналитический),1,Интервью с банкиром,ВЫБОР,финансовая стратегия,банк как крепость,банкир / рынок,стабильность / риск,стратегия
M081,https://www.kommersant.ru/doc/8532230,Главный KPI — экономика внимания: интервью с медиаменеджером,Средний (аналитический),1,Интервью о медиа,ВНИМАНИЕ,экономика внимания,внимание как валюта,медиаменеджер / аудитория,контроль / свобода,управление
M082,https://snob.ru/money/ekaterina-seredinskaia-ob-evoliutsii-bankovskogo-obsluzhivaniia,Серединская: об эволюции банковского обслуживания,Средний (аналитический),1,Интервью с банкиром,СЛУЖБА,сервисная трансформация,банк как сервис,банкир / клиент,сервис / равнодушие,сервис
M083,https://www.kommersant.ru/doc/8340950,Новая система высшего образования: увеличены баллы ЕГЭ,Средний (аналитический),1,Интервью об образовании,КАЧЕСТВО,образовательная реформа,ЕГЭ как инструмент оценки,министерство / абитуриент,качество / формализм,реформа
M084,https://www.vedomosti.ru/opinion/columns/2026/03/26/1185551-vesch-nedeli-borba-s-ekstremizmom,Борьба с экстремизмом: новые поправки,Медленный (культурная публицистика),1,Колонка о законодательстве,БЕЗОПАСНОСТЬ,правовое регулирование,закон как щит,государство / гражданин,безопасность / свобода,регулирование
M085,https://www.vedomosti.ru/ideas/education/columns/2026/04/06/1188222-gotovih-kadrov,Почему технологические лидеры не ждут готовых кадров,Медленный (культурная публицистика),1,Колонка о кадрах,КАДР,кадровый кризис,кадр как ресурс,лидер / образование,подготовка / дефицит,переподготовка
M086,https://www.vedomosti.ru/opinion/columns/2025/12/15/1163160-kuda-huzhe,Куда хуже: о кризисах 2025,Медленный (культурная публицистика),1,Колонка о кризисе,КРИЗИС,экономический спад,кризис как буря,эксперт / общество,осознание / адаптация,адаптация
M087,https://snob.ru/profile/413059/blog/3099724,Миллениалы не плачут: им за это стыдно,Медленный (культурная публицистика),1,Эссе о поколениях,ПОКОЛЕНИЕ,поколенческая травма,миллениал как субъект,поколение / общество,эмоциональность / сдержанность,рефлексия
M088,https://snob.ru/obrazovanie/faktologiia-protiv-poznaniia,Фактология против познания: образование в эпоху нейросетей,Медленный (культурная публицистика),1,Колонка об образовании,ЗНАНИЕ,образовательный кризис,знание как вода,образование / ИИ,познание / заучивание,реформа
M089,https://snob.ru/literature/chto-my-chitali-v-2025-godu-reiting-knizhnykh-izdatelstv,Что мы читали в 2025 году: рейтинг издательств,Медленный (культурная публицистика),1,Колонка о чтении,ЧТЕНИЕ,книжный рынок,книга как компас,читатель / рынок,качество / конвейер,выбор
M090,https://www.kommersant.ru/doc/8588198,Конец прошедшего времени: о смене политической эпохи,Медленный (культурная публицистика),1,Колонка о политике,ЭПОХА,политическая трансформация,эпоха как дверь,политик / общество,перемены / застой,наблюдение
M091,https://www.kommersant.ru/doc/8364012,Вся кООНпромиссная рать,Медленный (культурная публицистика),1,Колонка о геополитике,КОМПРОМИСС,международная дипломатия,ООН как театр,дипломат / ООН,компромисс / конфронтация,переговоры
M092,https://nvo.ng.ru/editorial/2025-12-26/01_9409_red.html,Что изменилось в инвестприоритетах,Медленный (культурная публицистика),1,Колонка об инвестициях,ИНВЕСТИЦИЯ,экономическая переориентация,инвестиция как посев,инвестор / экономика,развитие / стагнация,перераспределение
M093,https://nvo.ng.ru/ideas/2026-01-11/6_9412_100.html,100 ведущих политиков России в 2025 году,Медленный (культурная публицистика),1,Рейтинг-эссе,ВЛИЯНИЕ,политический рейтинг,политика как иерархия,политик / общество,власть / безвластие,оценка
M094,https://www.vedomosti.ru/esg/ecology/articles/2024/02/28/1022619-ekologiya-ischet-novie-vizovi,Экология ищет новые вызовы,Медленный (культурная публицистика),1,Колонка об экологии,ЭКОЛОГИЯ,устойчивое развитие,экология как баланс,общество / природа,сохранение / разрушение,баланс
M095,https://www.kommersant.ru/doc/7429862,Как изменились партийные симпатии избирателей,Медленный (культурная публицистика),1,Колонка о социологии,ВЫБОР,электоральная динамика,избиратель как маятник,избиратель / партия,перемены / стабильность,наблюдение
M096,https://www.culture.ru/materials/258644/ot-dyurera-do-deineki-samye-interesnye-vystavki-2025-goda,От Дюрера до Дейнеки: выставки 2025 года,Медленный (культурная публицистика),1,Рецензия на выставку,ИСКУССТВО,художественная выставка,выставка как диалог эпох,куратор / зритель,наследие / новаторство,популяризация
M097,https://www.culture.ru/materials/257560/glavnye-vystavki-2023-goda,Главные выставки 2023 года,Медленный (культурная публицистика),1,Обзор выставок,КУЛЬТУРНОЕ НАСЛЕДИЕ,музейная жизнь,музей как хранитель,музей / общество,сохранение / забвение,сохранение
M098,https://www.culture.ru/materials/258531/chto-smotret-v-teatralnom-sezone-2024-25-premery-moskvy-i-peterburga,Театральный сезон 2024/25: премьеры,Медленный (культурная публицистика),1,Обзор театра,ТЕАТР,театральная премьера,театр как зеркало,режиссёр / зритель,новаторство / традиция,просвещение
M099,https://www.culture.ru/materials/258946/spektakli-proekta-svoi-nepridumannye-istorii,Спектакли проекта «СВОи. Непридуманные истории»,Медленный (культурная публицистика),1,Рецензия на спектакль,СВИДЕТЕЛЬСТВО,документальный театр,сцена как свидетель,актёр / зритель,правда / вымысел,свидетельствование
M100,https://www.ng.ru/culture/2024-02-20/7_8953_gallery.html,В Третьяковской галерее вспоминают Александра Константинова,Медленный (культурная публицистика),1,Рецензия на выставку,ПАМЯТЬ,художественное наследие,искусство как послание,художник / зритель,признание / забвение,сохранение
